2019.02.19-13:15:01 5-14-1.dcm to 5-14-1.dcm.gz 
2019.02.19-13:15:01 5-142-1.dcm to 5-142-1.dcm.gz 
2019.02.19-13:15:01 5-143-1.dcm to 5-143-1.dcm.gz 
2019.02.19-13:15:01 5-144-1.dcm to 5-144-1.dcm.gz 
2019.02.19-13:15:01 5-145-1.dcm to 5-145-1.dcm.gz 
2019.02.19-13:15:01 5-146-1.dcm to 5-146-1.dcm.gz 
2019.02.19-13:15:01 5-147-1.dcm to 5-147-1.dcm.gz 
2019.02.19-13:15:01 5-148-1.dcm to 5-148-1.dcm.gz 
2019.02.19-13:15:01 5-149-1.dcm to 5-149-1.dcm.gz 
2019.02.19-13:15:01 5-150-1.dcm to 5-150-1.dcm.gz 
2019.02.19-13:15:01 5-151-1.dcm to 5-151-1.dcm.gz 
2019.02.19-13:15:01 5-15-1.dcm to 5-15-1.dcm.gz 
2019.02.19-13:15:01 5-152-1.dcm to 5-152-1.dcm.gz 
2019.02.19-13:15:01 5-153-1.dcm to 5-153-1.dcm.gz 
2019.02.19-13:15:01 5-154-1.dcm to 5-154-1.dcm.gz 
2019.02.19-13:15:01 5-155-1.dcm to 5-155-1.dcm.gz 
2019.02.19-13:15:01 5-156-1.dcm to 5-156-1.dcm.gz 
2019.02.19-13:15:01 5-157-1.dcm to 5-157-1.dcm.gz 
2019.02.19-13:15:01 5-158-1.dcm to 5-158-1.dcm.gz 
2019.02.19-13:15:01 5-159-1.dcm to 5-159-1.dcm.gz 
2019.02.19-13:15:01 5-160-1.dcm to 5-160-1.dcm.gz 
2019.02.19-13:15:01 5-161-1.dcm to 5-161-1.dcm.gz 
2019.02.19-13:15:01 5-16-1.dcm to 5-16-1.dcm.gz 
2019.02.19-13:15:01 5-162-1.dcm to 5-162-1.dcm.gz 
2019.02.19-13:15:01 5-163-1.dcm to 5-163-1.dcm.gz 
2019.02.19-13:15:01 5-164-1.dcm to 5-164-1.dcm.gz 
2019.02.19-13:15:01 5-165-1.dcm to 5-165-1.dcm.gz 
2019.02.19-13:15:01 5-166-1.dcm to 5-166-1.dcm.gz 
2019.02.19-13:15:01 5-167-1.dcm to 5-167-1.dcm.gz 
2019.02.19-13:15:01 5-168-1.dcm to 5-168-1.dcm.gz 
2019.02.19-13:15:01 5-169-1.dcm to 5-169-1.dcm.gz 
2019.02.19-13:15:01 5-170-1.dcm to 5-170-1.dcm.gz 
2019.02.19-13:15:01 5-171-1.dcm to 5-171-1.dcm.gz 
2019.02.19-13:15:01 5-17-1.dcm to 5-17-1.dcm.gz 
2019.02.19-13:15:01 5-172-1.dcm to 5-172-1.dcm.gz 
2019.02.19-13:15:01 5-173-1.dcm to 5-173-1.dcm.gz 
2019.02.19-13:15:01 5-174-1.dcm to 5-174-1.dcm.gz 
2019.02.19-13:15:01 5-175-1.dcm to 5-175-1.dcm.gz 
2019.02.19-13:15:01 5-176-1.dcm to 5-176-1.dcm.gz 
2019.02.19-13:15:01 5-177-1.dcm to 5-177-1.dcm.gz 
2019.02.19-13:15:01 5-178-1.dcm to 5-178-1.dcm.gz 
2019.02.19-13:15:01 5-179-1.dcm to 5-179-1.dcm.gz 
2019.02.19-13:15:01 5-180-1.dcm to 5-180-1.dcm.gz 
2019.02.19-13:15:01 5-181-1.dcm to 5-181-1.dcm.gz 
2019.02.19-13:15:01 5-18-1.dcm to 5-18-1.dcm.gz 
2019.02.19-13:15:01 5-182-1.dcm to 5-182-1.dcm.gz 
2019.02.19-13:15:01 5-183-1.dcm to 5-183-1.dcm.gz 
2019.02.19-13:15:01 5-184-1.dcm to 5-184-1.dcm.gz 
2019.02.19-13:15:01 5-185-1.dcm to 5-185-1.dcm.gz 
2019.02.19-13:15:01 5-186-1.dcm to 5-186-1.dcm.gz 
2019.02.19-13:15:01 5-187-1.dcm to 5-187-1.dcm.gz 
2019.02.19-13:15:01 5-188-1.dcm to 5-188-1.dcm.gz 
2019.02.19-13:15:01 5-189-1.dcm to 5-189-1.dcm.gz 
2019.02.19-13:15:01 5-190-1.dcm to 5-190-1.dcm.gz 
2019.02.19-13:15:01 5-191-1.dcm to 5-191-1.dcm.gz 
2019.02.19-13:15:01 5-19-1.dcm to 5-19-1.dcm.gz 
2019.02.19-13:15:01 5-192-1.dcm to 5-192-1.dcm.gz 
2019.02.19-13:15:01 5-20-1.dcm to 5-20-1.dcm.gz 
2019.02.19-13:15:01 5-21-1.dcm to 5-21-1.dcm.gz 
2019.02.19-13:15:01 5-2-1.dcm to 5-2-1.dcm.gz 
2019.02.19-13:15:01 5-22-1.dcm to 5-22-1.dcm.gz 
2019.02.19-13:15:01 5-23-1.dcm to 5-23-1.dcm.gz 
2019.02.19-13:15:01 5-24-1.dcm to 5-24-1.dcm.gz 
2019.02.19-13:15:01 5-25-1.dcm to 5-25-1.dcm.gz 
2019.02.19-13:15:01 5-26-1.dcm to 5-26-1.dcm.gz 
2019.02.19-13:15:01 5-27-1.dcm to 5-27-1.dcm.gz 
2019.02.19-13:15:01 5-28-1.dcm to 5-28-1.dcm.gz 
2019.02.19-13:15:01 5-29-1.dcm to 5-29-1.dcm.gz 
2019.02.19-13:15:01 5-30-1.dcm to 5-30-1.dcm.gz 
2019.02.19-13:15:01 5-31-1.dcm to 5-31-1.dcm.gz 
2019.02.19-13:15:01 5-3-1.dcm to 5-3-1.dcm.gz 
2019.02.19-13:15:01 5-32-1.dcm to 5-32-1.dcm.gz 
2019.02.19-13:15:01 5-33-1.dcm to 5-33-1.dcm.gz 
2019.02.19-13:15:01 5-34-1.dcm to 5-34-1.dcm.gz 
2019.02.19-13:15:01 5-35-1.dcm to 5-35-1.dcm.gz 
2019.02.19-13:15:01 5-36-1.dcm to 5-36-1.dcm.gz 
2019.02.19-13:15:01 5-37-1.dcm to 5-37-1.dcm.gz 
2019.02.19-13:15:01 5-38-1.dcm to 5-38-1.dcm.gz 
2019.02.19-13:15:01 5-39-1.dcm to 5-39-1.dcm.gz 
2019.02.19-13:15:01 5-40-1.dcm to 5-40-1.dcm.gz 
2019.02.19-13:15:01 5-41-1.dcm to 5-41-1.dcm.gz 
2019.02.19-13:15:01 5-4-1.dcm to 5-4-1.dcm.gz 
2019.02.19-13:15:01 5-42-1.dcm to 5-42-1.dcm.gz 
2019.02.19-13:15:01 5-43-1.dcm to 5-43-1.dcm.gz 
2019.02.19-13:15:01 5-44-1.dcm to 5-44-1.dcm.gz 
2019.02.19-13:15:01 5-45-1.dcm to 5-45-1.dcm.gz 
2019.02.19-13:15:01 5-46-1.dcm to 5-46-1.dcm.gz 
2019.02.19-13:15:01 5-47-1.dcm to 5-47-1.dcm.gz 
2019.02.19-13:15:01 5-48-1.dcm to 5-48-1.dcm.gz 
2019.02.19-13:15:01 5-49-1.dcm to 5-49-1.dcm.gz 
2019.02.19-13:15:01 5-50-1.dcm to 5-50-1.dcm.gz 
2019.02.19-13:15:01 5-51-1.dcm to 5-51-1.dcm.gz 
2019.02.19-13:15:01 5-5-1.dcm to 5-5-1.dcm.gz 
2019.02.19-13:15:01 5-52-1.dcm to 5-52-1.dcm.gz 
2019.02.19-13:15:01 5-53-1.dcm to 5-53-1.dcm.gz 
2019.02.19-13:15:01 5-54-1.dcm to 5-54-1.dcm.gz 
2019.02.19-13:15:01 5-55-1.dcm to 5-55-1.dcm.gz 
2019.02.19-13:15:01 5-56-1.dcm to 5-56-1.dcm.gz 
2019.02.19-13:15:01 5-57-1.dcm to 5-57-1.dcm.gz 
2019.02.19-13:15:01 5-58-1.dcm to 5-58-1.dcm.gz 
2019.02.19-13:15:01 5-59-1.dcm to 5-59-1.dcm.gz 
2019.02.19-13:15:01 5-60-1.dcm to 5-60-1.dcm.gz 
2019.02.19-13:15:01 5-61-1.dcm to 5-61-1.dcm.gz 
2019.02.19-13:15:01 5-6-1.dcm to 5-6-1.dcm.gz 
2019.02.19-13:15:01 5-62-1.dcm to 5-62-1.dcm.gz 
2019.02.19-13:15:01 5-63-1.dcm to 5-63-1.dcm.gz 
2019.02.19-13:15:01 5-64-1.dcm to 5-64-1.dcm.gz 
2019.02.19-13:15:01 5-65-1.dcm to 5-65-1.dcm.gz 
2019.02.19-13:15:01 5-66-1.dcm to 5-66-1.dcm.gz 
2019.02.19-13:15:01 5-67-1.dcm to 5-67-1.dcm.gz 
2019.02.19-13:15:01 5-68-1.dcm to 5-68-1.dcm.gz 
2019.02.19-13:15:01 5-69-1.dcm to 5-69-1.dcm.gz 
2019.02.19-13:15:01 5-70-1.dcm to 5-70-1.dcm.gz 
2019.02.19-13:15:01 5-71-1.dcm to 5-71-1.dcm.gz 
2019.02.19-13:15:01 5-7-1.dcm to 5-7-1.dcm.gz 
2019.02.19-13:15:01 5-72-1.dcm to 5-72-1.dcm.gz 
2019.02.19-13:15:01 5-73-1.dcm to 5-73-1.dcm.gz 
2019.02.19-13:15:01 5-74-1.dcm to 5-74-1.dcm.gz 
2019.02.19-13:15:01 5-75-1.dcm to 5-75-1.dcm.gz 
2019.02.19-13:15:01 5-76-1.dcm to 5-76-1.dcm.gz 
2019.02.19-13:15:01 5-77-1.dcm to 5-77-1.dcm.gz 
2019.02.19-13:15:01 5-78-1.dcm to 5-78-1.dcm.gz 
2019.02.19-13:15:01 5-79-1.dcm to 5-79-1.dcm.gz 
2019.02.19-13:15:01 5-80-1.dcm to 5-80-1.dcm.gz 
2019.02.19-13:15:01 5-81-1.dcm to 5-81-1.dcm.gz 
2019.02.19-13:15:01 5-8-1.dcm to 5-8-1.dcm.gz 
2019.02.19-13:15:01 5-82-1.dcm to 5-82-1.dcm.gz 
2019.02.19-13:15:01 5-83-1.dcm to 5-83-1.dcm.gz 
2019.02.19-13:15:01 5-84-1.dcm to 5-84-1.dcm.gz 
2019.02.19-13:15:01 5-85-1.dcm to 5-85-1.dcm.gz 
2019.02.19-13:15:01 5-86-1.dcm to 5-86-1.dcm.gz 
2019.02.19-13:15:01 5-87-1.dcm to 5-87-1.dcm.gz 
2019.02.19-13:15:01 5-88-1.dcm to 5-88-1.dcm.gz 
2019.02.19-13:15:01 5-89-1.dcm to 5-89-1.dcm.gz 
2019.02.19-13:15:01 5-90-1.dcm to 5-90-1.dcm.gz 
2019.02.19-13:15:01 5-91-1.dcm to 5-91-1.dcm.gz 
2019.02.19-13:15:01 5-9-1.dcm to 5-9-1.dcm.gz 
2019.02.19-13:15:01 5-92-1.dcm to 5-92-1.dcm.gz 
2019.02.19-13:15:01 5-93-1.dcm to 5-93-1.dcm.gz 
2019.02.19-13:15:01 5-94-1.dcm to 5-94-1.dcm.gz 
2019.02.19-13:15:01 5-95-1.dcm to 5-95-1.dcm.gz 
2019.02.19-13:15:01 5-96-1.dcm to 5-96-1.dcm.gz 
2019.02.19-13:15:01 5-97-1.dcm to 5-97-1.dcm.gz 
2019.02.19-13:15:01 5-98-1.dcm to 5-98-1.dcm.gz 
2019.02.19-13:15:01 5-99-1.dcm to 5-99-1.dcm.gz 
2019.02.19-13:15:09 SERIES 6
2019.02.19-13:15:09 6-1-1.dcm to 6-1-1.dcm.gz 
2019.02.19-13:15:09 6-2-1.dcm to 6-2-1.dcm.gz 
2019.02.19-13:15:09 6-3-1.dcm to 6-3-1.dcm.gz 
2019.02.19-13:15:11 SERIES 7
2019.02.19-13:15:11 7-10-1.dcm to 7-10-1.dcm.gz 
2019.02.19-13:15:11 7-11-1.dcm to 7-11-1.dcm.gz 
2019.02.19-13:15:11 7-1-1.dcm to 7-1-1.dcm.gz 
2019.02.19-13:15:11 7-12-1.dcm to 7-12-1.dcm.gz 
2019.02.19-13:15:11 7-2-1.dcm to 7-2-1.dcm.gz 
2019.02.19-13:15:11 7-3-1.dcm to 7-3-1.dcm.gz 
2019.02.19-13:15:11 7-4-1.dcm to 7-4-1.dcm.gz 
2019.02.19-13:15:11 7-5-1.dcm to 7-5-1.dcm.gz 
2019.02.19-13:15:11 7-6-1.dcm to 7-6-1.dcm.gz 
2019.02.19-13:15:11 7-7-1.dcm to 7-7-1.dcm.gz 
2019.02.19-13:15:11 7-8-1.dcm to 7-8-1.dcm.gz 
2019.02.19-13:15:11 7-9-1.dcm to 7-9-1.dcm.gz 
2019.02.19-13:15:14 SERIES 8
2019.02.19-13:15:14 8-100-1.dcm to 8-100-1.dcm.gz 
2019.02.19-13:15:14 8-101-1.dcm to 8-101-1.dcm.gz 
2019.02.19-13:15:14 8-10-1.dcm to 8-10-1.dcm.gz 
2019.02.19-13:15:14 8-102-1.dcm to 8-102-1.dcm.gz 
2019.02.19-13:15:14 8-103-1.dcm to 8-103-1.dcm.gz 
2019.02.19-13:15:14 8-104-1.dcm to 8-104-1.dcm.gz 
2019.02.19-13:15:14 8-105-1.dcm to 8-105-1.dcm.gz 
2019.02.19-13:15:14 8-106-1.dcm to 8-106-1.dcm.gz 
